Season,Net,Show Name,Rtg
2007,NBC,1 VS 100,2.1
2007,NBC,30 ROCK,3.2
2007,NBC,AMERICAN GLADIATORS,3.5
2007,NBC,AMNESIA,1.5
2007,NBC,APPRENTICE 7,4.0
2007,NBC,BIGGEST LOSER 4,3.4
2007,NBC,BIGGEST LOSER 5,3.7
2007,NBC,BIONIC WOMAN,4.0
2007,NBC,CHUCK,3.5
2007,NBC,DATELINE-FRI,2.0
2007,NBC,DATELINE-SUN,1.5
2007,NBC,DEAL OR NO DEAL-FRI,2.2
2007,NBC,DEAL OR NO DEAL-MON,3.5
2007,NBC,DEAL OR NO DEAL-WED,2.7
2007,NBC,ER,3.9
2007,NBC,FRIDAY NIGHT LIGHTS,2.2
2007,NBC,HEROES,6.2
2007,NBC,JOURNEYMAN,2.8
2007,NBC,LAS VEGAS,2.6
2007,NBC,LAW & ORDER,3.6
2007,NBC,LAW & ORDER:CRIM INT,2.2
2007,NBC,LAW & ORDER:SVU,5.0
2007,NBC,LIFE,3.0
2007,NBC,LIPSTICK JUNGLE,2.9
2007,NBC,MEDIUM-NBC,3.6
2007,NBC,MONK-NBC,1.2
2007,NBC,MOST OUTRAG MOMTS- TUE 8P,1.3
2007,NBC,MY DAD IS BETR THN YR DAD,2.0
2007,NBC,MY NAME IS EARL,3.5
2007,NBC,OFFICE,5.3
2007,NBC,PHENOMENON,2.4
2007,NBC,PSYCH-NBC,1.1
2007,NBC,SCRUBS,3.5
2007,NBC,SINGING BEE,2.1
2007,CBS,48 HOURS,1.7
2007,CBS,48 HOURS MYSTERY-TUE,2.1
2007,CBS,60 MINUTES,2.6
2007,CBS,AMAZING RACE: 12,3.9
2007,CBS,BIG BANG THEORY,3.6
2007,CBS,BIG BROTHER-SUN,2.5
2007,CBS,BIG BROTHER-TUE,2.5
2007,CBS,BIG BROTHER-WED,2.3
2007,CBS,CANE,2.4
2007,CBS,CBS SAT MOVIE,1.3
2007,CBS,COLD CASE,3.1
2007,CBS,CRIMINAL MINDS,4.2
2007,CBS,CSI,6.7
